Date,Heure,Consommation brute gaz (MW PCS 0°C) - GRTgaz,Statut - GRTgaz,Consommation brute gaz (MW PCS 0°C) - Teréga,Statut - Teréga,Consommation brute gaz totale (MW PCS 0°C),Consommation brute électricité (MW) - RTE,Statut - RTE,Consommation brute totale (MW)
2023-11-30,23:00,64713.0,Définitif,3126.0,Définitif,67839.0,61153,Consolidé,128992.0
2023-11-30,22:00,69016.0,Définitif,3547.0,Définitif,72563.0,61421,Consolidé,133984.0
2023-11-30,21:00,74468.0,Définitif,3984.0,Définitif,78452.0,62760,Consolidé,141212.0
2023-11-30,20:00,78208.0,Définitif,4278.0,Définitif,82486.0,66333,Consolidé,148819.0
2023-11-30,19:00,82662.0,Définitif,4432.0,Définitif,87094.0,70285,Consolidé,157379.0
2023-11-30,18:00,83926.0,Définitif,4476.0,Définitif,88402.0,69438,Consolidé,157840.0
2023-11-30,17:00,83030.0,Définitif,4416.0,Définitif,87446.0,66894,Consolidé,154340.0
2023-11-30,16:00,81926.0,Définitif,4200.0,Définitif,86126.0,64925,Consolidé,151051.0
2023-11-30,15:00,80099.0,Définitif,3970.0,Définitif,84069.0,65830,Consolidé,149899.0
2023-11-30,14:00,79678.0,Définitif,4033.0,Définitif,83711.0,66410,Consolidé,150121.0
2023-11-30,13:00,80254.0,Définitif,4111.0,Définitif,84365.0,66743,Consolidé,151108.0
2023-11-30,12:00,82605.0,Définitif,4308.0,Définitif,86913.0,68421,Consolidé,155334.0
2023-11-30,11:00,87051.0,Définitif,4552.0,Définitif,91603.0,69278,Consolidé,160881.0
2023-11-30,10:00,88930.0,Définitif,4623.0,Définitif,93553.0,69551,Consolidé,163104.0
2023-11-30,09:00,91201.0,Définitif,4740.0,Définitif,95941.0,69810,Consolidé,165751.0
2023-11-30,08:00,93385.0,Définitif,5013.0,Définitif,98398.0,68762,Consolidé,167160.0
2023-11-30,07:00,94268.0,Définitif,5263.0,Définitif,99531.0,67375,Consolidé,166906.0
2023-11-30,06:00,89596.0,Définitif,5181.0,Définitif,94777.0,61852,Consolidé,156629.0
2023-11-30,05:00,74916.0,Définitif,3903.0,Définitif,78819.0,56648,Consolidé,135467.0
2023-11-30,04:00,67739.0,Définitif,3319.0,Définitif,71058.0,54625,Consolidé,125683.0
2023-11-30,03:00,64482.0,Définitif,3163.0,Définitif,67645.0,55791,Consolidé,123436.0
2023-11-30,02:00,63668.0,Définitif,3135.0,Définitif,66803.0,58240,Consolidé,125043.0
2023-11-30,01:00,62480.0,Définitif,3175.0,Définitif,65655.0,58793,Consolidé,124448.0
2023-11-30,00:00,62925.0,Définitif,3196.0,Définitif,66121.0,60832,Consolidé,126953.0
2023-11-29,23:00,65186.0,Définitif,3251.0,Définitif,68437.0,62644,Consolidé,131081.0
2023-11-29,22:00,69829.0,Définitif,3739.0,Définitif,73568.0,62815,Consolidé,136383.0
2023-11-29,21:00,75039.0,Définitif,4261.0,Définitif,79300.0,64285,Consolidé,143585.0
2023-11-29,20:00,79240.0,Définitif,4601.0,Définitif,83841.0,67935,Consolidé,151776.0
2023-11-29,19:00,83046.0,Définitif,4841.0,Définitif,87887.0,71888,Consolidé,159775.0
2023-11-29,18:00,83906.0,Définitif,5011.0,Définitif,88917.0,71058,Consolidé,159975.0
2023-11-29,17:00,83015.0,Définitif,4912.0,Définitif,87927.0,67966,Consolidé,155893.0
2023-11-29,16:00,80454.0,Définitif,4728.0,Définitif,85182.0,64933,Consolidé,150115.0
2023-11-29,15:00,77314.0,Définitif,4552.0,Définitif,81866.0,65148,Consolidé,147014.0
2023-11-29,14:00,76433.0,Définitif,4559.0,Définitif,80992.0,65704,Consolidé,146696.0
2023-11-29,13:00,76726.0,Définitif,4556.0,Définitif,81282.0,65940,Consolidé,147222.0
2023-11-29,12:00,79812.0,Définitif,4775.0,Définitif,84587.0,68408,Consolidé,152995.0
2023-11-29,11:00,84414.0,Définitif,5128.0,Définitif,89542.0,69328,Consolidé,158870.0
2023-11-29,10:00,87167.0,Définitif,5427.0,Définitif,92594.0,70701,Consolidé,163295.0
2023-11-29,09:00,91234.0,Définitif,5951.0,Définitif,97185.0,72053,Consolidé,169238.0
2023-11-29,08:00,95073.0,Définitif,6391.0,Définitif,101464.0,71885,Consolidé,173349.0
2023-11-29,07:00,95836.0,Définitif,6452.0,Définitif,102288.0,69699,Consolidé,171987.0
2023-11-29,06:00,90630.0,Définitif,6144.0,Définitif,96774.0,64259,Consolidé,161033.0
2023-11-29,05:00,75990.0,Définitif,4680.0,Définitif,80670.0,58840,Consolidé,139510.0
2023-11-29,04:00,69173.0,Définitif,3941.0,Définitif,73114.0,56521,Consolidé,129635.0
2023-11-29,03:00,66072.0,Définitif,3626.0,Définitif,69698.0,57435,Consolidé,127133.0
2023-11-29,02:00,65025.0,Définitif,3493.0,Définitif,68518.0,59406,Consolidé,127924.0
2023-11-29,01:00,63772.0,Définitif,3441.0,Définitif,67213.0,59312,Consolidé,126525.0
2023-11-29,00:00,64255.0,Définitif,3338.0,Définitif,67593.0,61581,Consolidé,129174.0
2023-11-28,23:00,65524.0,Définitif,3371.0,Définitif,68895.0,63636,Consolidé,132531.0
2023-11-28,22:00,69653.0,Définitif,3855.0,Définitif,73508.0,63446,Consolidé,136954.0
2023-11-28,21:00,74628.0,Définitif,4297.0,Définitif,78925.0,64768,Consolidé,143693.0
2023-11-28,20:00,77994.0,Définitif,4546.0,Définitif,82540.0,68162,Consolidé,150702.0
2023-11-28,19:00,80086.0,Définitif,4696.0,Définitif,84782.0,71466,Consolidé,156248.0
2023-11-28,18:00,81209.0,Définitif,4745.0,Définitif,85954.0,70179,Consolidé,156133.0
2023-11-28,17:00,80433.0,Définitif,4512.0,Définitif,84945.0,66136,Consolidé,151081.0
2023-11-28,16:00,77453.0,Définitif,4137.0,Définitif,81590.0,63102,Consolidé,144692.0
2023-11-28,15:00,74418.0,Définitif,3769.0,Définitif,78187.0,63551,Consolidé,141738.0
2023-11-28,14:00,73853.0,Définitif,3789.0,Définitif,77642.0,64092,Consolidé,141734.0
2023-11-28,13:00,75408.0,Définitif,3924.0,Définitif,79332.0,64582,Consolidé,143914.0
2023-11-28,12:00,77632.0,Définitif,4122.0,Définitif,81754.0,66591,Consolidé,148345.0
2023-11-28,11:00,80839.0,Définitif,4338.0,Définitif,85177.0,67308,Consolidé,152485.0
2023-11-28,10:00,82402.0,Définitif,4541.0,Définitif,86943.0,67673,Consolidé,154616.0
2023-11-28,09:00,85273.0,Définitif,4813.0,Définitif,90086.0,68456,Consolidé,158542.0
2023-11-28,08:00,87358.0,Définitif,5089.0,Définitif,92447.0,67863,Consolidé,160310.0
2023-11-28,07:00,87714.0,Définitif,5346.0,Définitif,93060.0,66190,Consolidé,159250.0
2023-11-28,06:00,80373.0,Définitif,5210.0,Définitif,85583.0,59839,Consolidé,145422.0
2023-11-28,05:00,74646.0,Définitif,3847.0,Définitif,78493.0,54587,Consolidé,133080.0
2023-11-28,04:00,66614.0,Définitif,3220.0,Définitif,69834.0,52168,Consolidé,122002.0
2023-11-28,03:00,63130.0,Définitif,2961.0,Définitif,66091.0,53287,Consolidé,119378.0
2023-11-28,02:00,62755.0,Définitif,2881.0,Définitif,65636.0,55549,Consolidé,121185.0
2023-11-28,01:00,62677.0,Définitif,2857.0,Définitif,65534.0,55610,Consolidé,121144.0
2023-11-28,00:00,63897.0,Définitif,2856.0,Définitif,66753.0,58530,Consolidé,125283.0
2023-11-27,23:00,51797.0,Définitif,2938.0,Définitif,54735.0,60657,Consolidé,115392.0
2023-11-27,22:00,56032.0,Définitif,3445.0,Définitif,59477.0,60679,Consolidé,120156.0
2023-11-27,21:00,62279.0,Définitif,3867.0,Définitif,66146.0,62191,Consolidé,128337.0
2023-11-27,20:00,69673.0,Définitif,4205.0,Définitif,73878.0,66399,Consolidé,140277.0
2023-11-27,19:00,74063.0,Définitif,4499.0,Définitif,78562.0,70730,Consolidé,149292.0
2023-11-27,18:00,74749.0,Définitif,4659.0,Définitif,79408.0,69996,Consolidé,149404.0
2023-11-27,17:00,75911.0,Définitif,4687.0,Définitif,80598.0,67277,Consolidé,147875.0
2023-11-27,16:00,76198.0,Définitif,4615.0,Définitif,80813.0,65684,Consolidé,146497.0
2023-11-27,15:00,75962.0,Définitif,4465.0,Définitif,80427.0,67240,Consolidé,147667.0
2023-11-27,14:00,77123.0,Définitif,4665.0,Définitif,81788.0,67930,Consolidé,149718.0
2023-11-27,13:00,78693.0,Définitif,4851.0,Définitif,83544.0,68347,Consolidé,151891.0
2023-11-27,12:00,80573.0,Définitif,5174.0,Définitif,85747.0,69905,Consolidé,155652.0
2023-11-27,11:00,82702.0,Définitif,5574.0,Définitif,88276.0,70337,Consolidé,158613.0
2023-11-27,10:00,83306.0,Définitif,5750.0,Définitif,89056.0,69953,Consolidé,159009.0
2023-11-27,09:00,84859.0,Définitif,5979.0,Définitif,90838.0,69665,Consolidé,160503.0
2023-11-27,08:00,87044.0,Définitif,6370.0,Définitif,93414.0,68308,Consolidé,161722.0
2023-11-27,07:00,88155.0,Définitif,6538.0,Définitif,94693.0,66652,Consolidé,161345.0
2023-11-27,06:00,82491.0,Définitif,6341.0,Définitif,88832.0,60530,Consolidé,149362.0
2023-11-27,05:00,65023.0,Définitif,5012.0,Définitif,70035.0,55006,Consolidé,125041.0
2023-11-27,04:00,56511.0,Définitif,4213.0,Définitif,60724.0,52598,Consolidé,113322.0
2023-11-27,03:00,53019.0,Définitif,3868.0,Définitif,56887.0,53342,Consolidé,110229.0
2023-11-27,02:00,51679.0,Définitif,3710.0,Définitif,55389.0,55583,Consolidé,110972.0
2023-11-27,01:00,51105.0,Définitif,3685.0,Définitif,54790.0,55837,Consolidé,110627.0
2023-11-27,00:00,50820.0,Définitif,3651.0,Définitif,54471.0,58203,Consolidé,112674.0
2023-11-26,23:00,58430.0,Définitif,3648.0,Définitif,62078.0,59467,Consolidé,121545.0
2023-11-26,22:00,61968.0,Définitif,4117.0,Définitif,66085.0,59216,Consolidé,125301.0
2023-11-26,21:00,68270.0,Définitif,4562.0,Définitif,72832.0,60162,Consolidé,132994.0
2023-11-26,20:00,70751.0,Définitif,4786.0,Définitif,75537.0,62287,Consolidé,137824.0
